표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7359090008","359090","엔에이치기업인수목적17호","엔에이치스팩17호","NH SPECIAL PURPOSE ACQUISITION 17 COMPANY","2020/09/23","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","7010000"
"KR7365590009","365590","엔에이치기업인수목적18호","엔에이치스팩18호","NH SPECIAL PURPOSE ACQUISITION 18 COMPANY","2020/12/21","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4600000"
"KR7380440008","380440","엔에이치기업인수목적19호보통주","엔에이치스팩19호","NH SPECIAL PURPOSE ACQUISITION 19 COMPANY","2021/05/21","KOSPI","주권",,"보통주","100","51290000"
"KR7104200001","104200","엔에이치엔벅스","NHN벅스","NHN BUGS Corporation","2009/10/06","KOSDAQ","주권","중견기업부","보통주","500","14827550"
"KR7060250008","060250","엔에이치엔한국사이버결제","NHN한국사이버결제","NHN KCP Corp.","2002/01/08","KOSDAQ","주권","우량기업부","보통주","500","24502769"
"KR7005941000","005945","엔에이치투자증권1우선주","NH투자증권우","NH INVESTMENT & SECURITIES(1P)","1988/09/13","KOSPI","주권",,"구형우선주","5000","18870968"
"KR7005940002","005940","엔에이치투자증권보통주","NH투자증권","NH INVESTMENT & SECURITIES","1975/09/30","KOSPI","주권",,"보통주","5000","281408887"
"KR7265740001","265740","엔에프씨","엔에프씨","NFC Corporation","2020/12/02","KOSDAQ","주권","벤처기업부","보통주","100","8931800"
"KR7053290003","053290","엔이능률","NE능률","NE Neungyule, Inc.","2002/12/10","KOSDAQ","주권","중견기업부","보통주","500","16526307"
"KR7354200008","354200","엔젠바이오","엔젠바이오","NGeneBio Co., Ltd.","2020/12/10","KOSDAQ","주권","기술성장기업부","보통주","1000","12364912"
"KR7093510006","093510","엔지브이아이","엔지브이아이","NGVI","2019/09/30","KONEX","주권","일반기업부","보통주","500","6020000"
"KR7208860007","208860","엔지스테크널러지","엔지스테크널러지","EnGIS Technologies, Inc.","2016/07/28","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","11443863"
"KR7183490002","183490","엔지켐생명과학","엔지켐생명과학","ENZYCHEM LIFESCIENCES CORPORATION","2018/02/21","KOSDAQ","주권","기술성장기업부","보통주","500","8331345"
"KR7085310001","085310","엔케이 보통주","엔케이","NK","2008/01/24","KOSPI","주권",,"보통주","500","79983352"
"KR7182400002","182400","엔케이맥스","엔케이맥스","NKMAX Co., Ltd.","2015/10/23","KOSDAQ","주권","기술성장기업부","보통주","500","35189955"
"KR7009810003","009810","엔케이물산보통주","엔케이물산","NK MULSAN","1988/08/31","KOSPI","주권",,"보통주","100","79439210"
"KR7069410009","069410","엔텔스","엔텔스","nTels Co., Ltd.","2007/06/20","KOSDAQ","주권","벤처기업부","보통주","500","10244824"
"KR7227950003","227950","엔투텍","엔투텍","N2TECH CO.,LTD","2015/11/18","KOSDAQ","주권","중견기업부","보통주","100","71561429"
"KR7198080004","198080","엔피디","엔피디","NPD Co.,Ltd.","2020/03/16","KOSDAQ","주권","우량기업부","보통주","500","21535185"
"KR7048830004","048830","엔피케이","엔피케이","NPK CO., LTD","2000/10/12","KOSDAQ","주권","중견기업부","보통주","500","18723923"
"KR7096870001","096870","엘디티","엘디티","LDT Inc.","2008/05/02","KOSDAQ","주권","벤처기업부","보통주","500","6678400"
"KR7276240009","276240","엘리비젼","엘리비젼","Elivision","2018/07/05","KONEX","주권","일반기업부","보통주","500","6674400"
"KYG5307W1015","900140","엘브이엠씨홀딩스보통주","엘브이엠씨홀딩스","LVMC Holdings","2010/11/30","KOSPI","외국주권",,"보통주","0.25","99455297"
"KR7376190005","376190","엘비루셈","엘비루셈","LB Lusem Co., Ltd.","2021/06/11","KOSDAQ","주권","중견기업부","보통주","500","24600000"
"KR7061970000","061970","엘비세미콘","엘비세미콘","LB SEMICON CO., LTD.","2011/01/31","KOSDAQ","주권","우량기업부","보통주","500","43784592"
"KR7138690003","138690","엘아이에스","엘아이에스","LIS Co., Ltd.","2011/06/02","KOSDAQ","주권","중견기업부","보통주","500","16590820"
"KR7290650001","290650","엘앤씨바이오","엘앤씨바이오","L&C BIO","2018/11/01","KOSDAQ","주권","벤처기업부","보통주","500","22684891"
"KR7066970005","066970","엘앤에프","엘앤에프","L&F CO., LTD","2003/01/02","KOSDAQ","주권","중견기업부","보통주","500","28078729"
"KR7156100000","156100","엘앤케이바이오메드","엘앤케이바이오","L&K BIOMED CO., LTD.","2016/11/30","KOSDAQ","주권","중견기업부","보통주","500","13392743"
"KR7229640008","229640","엘에스전선아시아보통주","LS전선아시아","LS C&S ASIA","2016/09/22","KOSPI","주권",,"보통주","500","30624879"
"KR7311060008","311060","엘에이티","엘에이티","LAT","2018/12/28","KONEX","주권","일반기업부","보통주","500","2554510"
"KR7108320003","108320","엘엑스세미콘","LX세미콘","LX Semicon","2010/06/08","KOSDAQ","주권","우량기업부","보통주","500","16264300"
"KR7108671009","108675","엘엑스하우시스1우선주","LX하우시스우","LX HAUSYS, LTD.(1P)","2009/04/20","KOSPI","주권",,"구형우선주","5000","1032330"
"KR7108670001","108670","엘엑스하우시스보통주","LX하우시스","LX HAUSYS, LTD.","2009/04/20","KOSPI","주권",,"보통주","5000","8967670"
"KR738380K012","38380K","엘엑스홀딩스1우선주","LX홀딩스1우","LX HOLDINGS(1P)","2021/05/27","KOSPI","주권",,"종류주권","1000","1465285"
"KR7383800000","383800","엘엑스홀딩스보통주","LX홀딩스","LX HOLDINGS","2021/05/27","KOSPI","주권",,"보통주","1000","76280690"
"KR7073110009","073110","엘엠에스","엘엠에스","LMS Co.,Ltd.","2007/10/12","KOSDAQ","주권","벤처기업부","보통주","500","8895755"
"KR7083310003","083310","엘오티베큠","엘오티베큠","LOT Vacuum. Co., Ltd.","2005/10/05","KOSDAQ","주권","우량기업부","보통주","500","17810033"
"KR7037560000","037560","엘지헬로비전보통주","LG헬로비전","LG HelloVision","2012/11/09","KOSPI","주권",,"보통주","2500","77446865"
"KR7037950003","037950","엘컴텍","엘컴텍","ELCOMTEC CO.,LTD","2000/08/24","KOSDAQ","주권","중견기업부","보통주","500","84447519"
"KR7170920003","170920","엘티씨","엘티씨","LTC Co., LTD.","2013/10/08","KOSDAQ","주권","벤처기업부","보통주","500","8019363"
"KR7058630005","058630","엠게임","엠게임","Mgame Corp.","2008/12/19","KOSDAQ","주권","벤처기업부","보통주","500","19543877"
"KR7058970005","058970","엠로","엠로","EMRO","2016/04/28","KONEX","주권","일반기업부","보통주","500","5375254"
"KR7019590009","019590","엠벤처투자","엠벤처투자","M-VENTURE INVESTMENT, INC.","1989/03/14","KOSDAQ","주권","중견기업부","보통주","500","67352095"
"KR7097520001","097520","엠씨넥스보통주","엠씨넥스","MCNEX Co.,Ltd.","2021/07/06","KOSPI","주권",,"보통주","500","17863482"
"KR7179290002","179290","엠아이텍","엠아이텍","MITECH CO., LTD.","2018/11/29","KOSDAQ","주권","중견기업부","보통주","500","31183148"
"KR7225860006","225860","엠앤씨생명과학","엠앤씨생명과학","M&C Life Science","2017/04/25","KONEX","주권","일반기업부","보통주","100","17037138"
"KR7009780008","009780","엠에스씨","엠에스씨","MSC","1993/10/12","KOSDAQ","주권","우량기업부","보통주","500","17600000"
"KR7123040008","123040","엠에스오토텍","엠에스오토텍","MS AUTOTECH COMPANY, LIMITED","2010/08/06","KOSDAQ","주권","중견기업부","보통주","500","35654087"
"KR7323230003","323230","엠에프엠코리아","엠에프엠코리아","MFM KOREA Co., Ltd.","2019/06/19","KOSDAQ","주권","중견기업부","보통주","100","20271660"
"KR7032790008","032790","엠젠플러스","엠젠플러스","MGENPLUS CO., LTD.","1997/06/26","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","27734345"
"KR7033160003","033160","엠케이전자","엠케이전자","MKElectron","1997/11/10","KOSDAQ","주권","우량기업부","보통주","500","21807689"
"KR7347890006","347890","엠투아이코퍼레이션","엠투아이","M2I CORPORATION","2020/07/29","KOSDAQ","주권","벤처기업부","보통주","100","16798204"
"KR7033310004","033310","엠투엔","엠투엔","M2N Co.,Ltd","1997/11/10","KOSDAQ","주권","중견기업부","보통주","500","25181054"
"KR7259630002","259630","엠플러스","엠플러스","mPlus Corp","2017/09/20","KOSDAQ","주권","우량기업부","보통주","500","11402436"
"KR7065150005","065150","엠피대산","엠피대산","MPDAESAN Inc","2007/07/18","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","125282405"
"KR7115960007","115960","연우","연우","YONWOO CO., LTD","2015/11/02","KOSDAQ","주권","우량기업부","보통주","500","12398000"
"KR7090740002","090740","연이비앤티","연이비앤티","YOUNYI B&T Inc.","2007/09/19","KOSDAQ","주권","중견기업부","보통주","500","19126082"
"KR7060850005","060850","영림원소프트랩","영림원소프트랩","YoungLimWon SoftLab. Co., Ltd.","2020/08/12","KOSDAQ","주권","벤처기업부","보통주","500","8131000"
"KR7014440002","014440","영보화학보통주","영보화학","YoungboChemical","1997/08/27","KOSPI","주권",,"보통주","500","20000000"
"KR7007530009","007530","영신금속공업","영신금속","YoungsinMetalIndustrial","1994/08/05","KOSDAQ","주권","중견기업부","보통주","500","19174452"
"KR7143540003","143540","영우디에스피","영우디에스피","YoungWoo DSP Co.,Ltd.","2014/10/29","KOSDAQ","주권","벤처기업부","보통주","500","44599895"
"KR7111770004","111770","영원무역보통주","영원무역","Youngone Corporation","2009/07/30","KOSPI","주권",,"보통주","500","44311468"
"KR7009970005","009970","영원무역홀딩스보통주","영원무역홀딩스","YoungoneHoldings","1988/11/07","KOSPI","주권",,"보통주","500","13635592"
"KR7003520004","003520","영진약품보통주","영진약품","YUNGJIN PHARM","1973/06/25","KOSPI","주권",,"보통주","500","182892731"
"KR7000670000","000670","영풍보통주","영풍","Youngpoong","1976/06/12","KOSPI","주권",,"보통주","5000","1842040"
"KR7036560001","036560","영풍정밀","영풍정밀","YOUNG POONG PRECISION CORPORATION","1999/12/28","KOSDAQ","주권","우량기업부","보통주","500","15750000"
"KR7006740005","006740","영풍제지보통주","영풍제지","YoungpoongPaperMfg","1996/07/03","KOSPI","주권",,"보통주","500","22200000"
"KR7012280004","012280","영화금속보통주","영화금속","YeonghwaMetal","1990/01/25","KOSPI","주권",,"보통주","500","53394505"
"KR7265560003","265560","영화테크","영화테크","Younghwa Tech Co., Ltd.","2017/10/26","KOSDAQ","주권","벤처기업부","보통주","500","10690180"
"KR7012160008","012160","영흥보통주","영흥","YOUNGWIRE","2010/01/25","KOSPI","주권",,"보통주","500","101310372"
"KR7036000008","036000","예림당","예림당","YeaRimDang Publishing Co., Ltd.","1999/11/30","KOSDAQ","주권","중견기업부","보통주","500","23034277"
"KR7250930005","250930","예선테크","예선테크","YeSUN Tech Co., Ltd.","2016/09/29","KOSDAQ","주권","벤처기업부","보통주","100","33000440"
"KR7053280004","053280","예스이십사","예스24","YES24 Co.,Ltd","2008/05/07","KOSDAQ","주권","중견기업부","보통주","500","25000000"
"KR7015360001","015360","예스코홀딩스보통주","예스코홀딩스","Yesco Holdings","1996/12/24","KOSPI","주권",,"보통주","5000","6000000"
"KR7122640006","122640","예스티","예스티","YEST Co.,Ltd.","2015/12/16","KOSDAQ","주권","벤처기업부","보통주","500","17062566"
"HK0000312568","900300","오가닉티코스메틱스홀딩스컴퍼니리미티드","오가닉티코스메틱","ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED","2016/11/04","KOSDAQ","외국주권","외국기업(소속부없음)","보통주","무액면","64411060"
"KR7045060001","045060","오공","오공","OKONG Corporation","2000/08/10","KOSDAQ","주권","우량기업부","보통주","500","16941974"
"KR7080520000","080520","오디텍","오디텍","ODTech","2007/10/08","KOSDAQ","주권","벤처기업부","보통주","500","11746609"
"KR7007310006","007310","오뚜기보통주","오뚜기","Ottogi","1994/08/12","KOSPI","주권",,"보통주","5000","3671981"
"KR7039830005","039830","오로라월드","오로라","AURORA WORLD Corporation","2001/01/03","KOSDAQ","주권","우량기업부","보통주","500","10762890"
"KR7322310004","322310","오로스테크놀로지","오로스테크놀로지","AUROS TECHNOLOGY, INC.","2021/02/24","KOSDAQ","주권","벤처기업부","보통주","500","9309542"
"KR7046120002","046120","오르비텍","오르비텍","Orbitech Co., Ltd.","2010/06/15","KOSDAQ","주권","중견기업부","보통주","500","24968430"
"KR7014940001","014940","오리엔탈정공","오리엔탈정공","ORIENTAL PRECISION & ENGINEERING CO.,LTD","2001/12/26","KOSDAQ","주권","우량기업부","보통주","500","45573661"
"KR7002630002","002630","오리엔트바이오보통주","오리엔트바이오","ORIENTBIO","1976/12/28","KOSPI","주권",,"보통주","500","118583005"
"KR7065500001","065500","오리엔트정공","오리엔트정공","Orient Precision Industries Inc.","2002/09/19","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","117214562"
"KR7271560005","271560","오리온보통주","오리온","ORION","2017/07/07","KOSPI","주권",,"보통주","500","39536132"
"KR7001800002","001800","오리온홀딩스보통주","오리온홀딩스","ORION Holdings","1975/06/27","KOSPI","주권",,"보통주","500","62645422"
"KR7010470003","010470","오리콤","오리콤","ORICOM Inc.","2000/10/24","KOSDAQ","주권","우량기업부","보통주","1000","11845050"
"KR7352910004","352910","오비고","오비고","Obigo Inc.","2021/07/13","KOSDAQ","주권","기술성장기업부","보통주","500","11283858"
"KR7053980009","053980","오상자이엘","오상자이엘","OSANGJAIEL Co., Ltd","2002/04/09","KOSDAQ","주권","중견기업부","보통주","500","17747882"
"KR7052420007","052420","오성첨단소재","오성첨단소재","OSUNG ADVANCED MATERIALS CO., LTD.","2001/08/07","KOSDAQ","주권","우량기업부","보통주","500","67887544"
"KR7241790005","241790","오션브릿지","오션브릿지","OCEANBRIDGE CO., LTD","2016/12/01","KOSDAQ","주권","우량기업부","보통주","500","10002634"
"KR7329020002","329020","오션스톤","오션스톤","Ocean Stone","2020/05/07","KONEX","주권","일반기업부","보통주","500","800000"
"KR7039200001","039200","오스코텍","오스코텍","OSCOTEC Inc.","2007/01/17","KOSDAQ","주권","벤처기업부","보통주","500","30206525"
"KR7031510001","031510","오스템","오스템","AUSTEM CO.,LTD","1997/02/12","KOSDAQ","주권","중견기업부","보통주","500","28000000"
"KR7048260004","048260","오스템임플란트","오스템임플란트","OSSTEM IMPLANT.CO.,Ltd","2007/02/07","KOSDAQ","주권","우량기업부","보통주","500","14285717"
"KR7138080007","138080","오이솔루션","오이솔루션","OE Solutions Co., Ltd.","2014/02/27","KOSDAQ","주권","우량기업부","보통주","500","10624095"
"KR7080580004","080580","오킨스전자","오킨스전자","OKins Electronics Co.,Ltd.","2014/12/24","KOSDAQ","주권","벤처기업부","보통주","500","17679298"
"KR7067170001","067170","오텍","오텍","Autech Corporation","2003/11/14","KOSDAQ","주권","우량기업부","보통주","500","15391605"
"KR7173130006","173130","오파스넷","오파스넷","OPASNET co., Ltd","2018/08/24","KOSDAQ","주권","중견기업부","보통주","500","11860430"
"KR7049480007","049480","오픈베이스","오픈베이스","Openbase, Inc.","2001/01/09","KOSDAQ","주권","중견기업부","보통주","500","31422383"
"KR7309930006","309930","오하임아이엔티","오하임아이엔티","OHEIM INT Co.,Ltd.","2018/12/20","KOSDAQ","주권","중견기업부","보통주","100","20507691"
"KR7078590007","078590","온코퀘스트파마슈티컬","OQP","OncoQuest Pharmaceuticals Inc.","2005/10/27","KOSDAQ","주권","관리종목(소속부없음)","보통주","200","83006958"
"KR7244460002","244460","올리패스","올리패스","OLIPASS Corporation","2019/09/20","KOSDAQ","주권","기술성장기업부","보통주","500","25542304"
"KR7226950004","226950","올릭스","올릭스","Olix Pharmaceuticals, Inc.","2018/07/18","KOSDAQ","주권","기술성장기업부","보통주","500","13703160"
"KR7057540007","057540","옴니시스템","옴니시스템","Omnisystem Co., Ltd","2007/09/19","KOSDAQ","주권","우량기업부","보통주","500","46449355"
"KR7082210006","082210","옵트론텍","옵트론텍","OPTRONTEC Inc.","2005/06/24","KOSDAQ","주권","중견기업부","보통주","500","24220599"
"KR7109080002","109080","옵티시스","옵티시스","OPTICIS CO., LTD.","2011/07/12","KOSDAQ","주권","벤처기업부","보통주","500","5636000"
"KR7153710009","153710","옵티팜","옵티팜","Optipharm. CO., LTD","2018/10/26","KOSDAQ","주권","기술성장기업부","보통주","500","14589458"
"KR7051390003","051390","와이더블유","YW","YW COMPANY LIMITED","2001/11/15","KOSDAQ","주권","중견기업부","보통주","500","11355368"
"KR7321820003","321820","와이더플래닛","와이더플래닛","Wider Planet Inc.","2021/02/03","KOSDAQ","주권","기술성장기업부","보통주","500","6897482"
"KR7057030009","057030","와이비엠넷","YBM넷","YBM NET, Inc.","2004/06/08","KOSDAQ","주권","중견기업부","보통주","500","16312697"
"KR7122990005","122990","와이솔","와이솔","WiSoL CO., LTD.","2010/09/10","KOSDAQ","주권","우량기업부","보통주","500","28186941"
"KR7232140004","232140","와이아이케이","와이아이케이","YIK Corporation","2015/12/24","KOSDAQ","주권","우량기업부","보통주","100","82045350"
"KR7065530008","065530","와이어블","와이어블","Wiable","2002/06/04","KOSDAQ","주권","중견기업부","보통주","500","52860000"
"KR7067900001","067900","와이엔텍","와이엔텍","Y-ENTEC CO.,LTD.","2005/12/23","KOSDAQ","주권","우량기업부","보통주","500","18199659"
"KR7155650005","155650","와이엠씨","와이엠씨","YMC Co., Ltd.","2012/11/15","KOSDAQ","주권","우량기업부","보통주","500","19974358"
"KR7251370003","251370","와이엠티","와이엠티","YMT CO., LTD.","2017/04/27","KOSDAQ","주권","우량기업부","보통주","500","14954978"
"KR7066430000","066430","와이오엠","와이오엠","Y-OPTICS MANUFACTURE Co., Ltd.","2002/12/24","KOSDAQ","주권","중견기업부","보통주","500","15855736"
"KR7193250008","193250","와이제이엠게임즈","와이제이엠게임즈","YJM Games Co., Ltd.","2014/12/29","KOSDAQ","주권","중견기업부","보통주","100","57183559"
"KR7273060004","273060","와이즈버즈","와이즈버즈","Wise birds Inc.","2017/08/07","KOSDAQ","주권","중견기업부","보통주","100","47552972"
"KR7019210004","019210","와이지-원","와이지-원","YG-1 CO., LTD","1997/08/06","KOSDAQ","주권","중견기업부","보통주","500","30573819"
"KR7122870009","122870","와이지엔터테인먼트","와이지엔터테인먼트","YG Entertainment Inc.","2011/11/23","KOSDAQ","주권","중견기업부","보통주","500","18434369"
"KR7037270006","037270","와이지플러스보통주","YG PLUS","YG PLUS","2003/08/01","KOSPI","주권",,"보통주","500","63429410"
"KR7040300006","040300","와이티엔","YTN","YTN","2001/09/04","KOSDAQ","주권","중견기업부","보통주","1000","42000000"
"KR7332570001","332570","와이팜","와이팜","Wireless Amplifier Module Inc.","2020/07/31","KOSDAQ","주권","우량기업부","보통주","500","37141356"
"KR7079000006","079000","와토스 코리아","와토스코리아","WATOS COREA CO.,LTD","2005/11/15","KOSDAQ","주권","중견기업부","보통주","500","7200000"
"KR7316140003","316140","우리금융지주보통주","우리금융지주","WooriFinancialGroup","2019/02/13","KOSPI","주권",,"보통주","5000","722267683"
"KR7033660002","033660","우리금융캐피탈보통주","우리금융캐피탈","WOORI FINANCIAL CAPITAL","2009/06/25","KOSPI","주권",,"보통주","5000","57545890"
"KR7032820003","032820","우리기술","우리기술","Woori Technology, Incorporation","2000/06/22","KOSDAQ","주권","벤처기업부","보통주","500","132663708"
"KR7041190000","041190","우리기술투자","우리기술투자","Woori Technology Investment Co., Ltd","2000/06/09","KOSDAQ","주권","벤처기업부","보통주","500","84000000"
"KR7115440000","115440","우리넷","우리넷","Woori-Net Co., Ltd.","2010/01/27","KOSDAQ","주권","벤처기업부","보통주","500","9136944"
"KR7118000009","118000","우리들휴브레인보통주","우리들휴브레인","WOORIDUL HUEBRAIN","2009/12/30","KOSPI","주권",,"보통주","500","53560160"
"KR7046970000","046970","우리로","우리로","WOORIRO CO., LTD","2012/11/27","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","28163495"
"KR7082850009","082850","우리바이오","우리바이오","WOOREE BIO CO., LTD","2005/07/29","KOSDAQ","주권","중견기업부","보통주","500","45177878"
"KR7215360009","215360","우리산업","우리산업","WOORY INDUSTRIAL CO.,LTD.","2015/05/06","KOSDAQ","주권","우량기업부","보통주","500","9132163"
"KR7072470008","072470","우리산업홀딩스","우리산업홀딩스","WOORY INDUSTRIAL HOLDINGS CO.,LTD.","2003/10/28","KOSDAQ","주권","중견기업부","보통주","500","18887341"
"KR7073560005","073560","우리손에프앤지 농업회사법인","우리손에프앤지","Woorison F&G CO., LTD.","2016/07/27","KOSDAQ","주권","우량기업부","보통주","500","69237643"
"KR7153490008","153490","우리이앤엘","우리이앤엘","WOOREE E&L CO.,Ltd.","2013/02/05","KOSDAQ","주권","중견기업부","보통주","500","51480000"
"KR7037400009","037400","우리조명","우리조명","WOOREE LIGHTING CO.,LTD","1999/12/16","KOSDAQ","주권","중견기업부","보통주","500","26173346"
"KR7010050003","010050","우리종합금융보통주","우리종금","Woori Investment Bank","1974/09/11","KOSPI","주권",,"보통주","500","874203406"
"KR7101170009","101170","우림기계","우림기계","WOORIM MACHINERY Co., Ltd.","2009/04/28","KOSDAQ","주권","벤처기업부","보통주","500","13500000"
"KR7006980007","006980","우성사료보통주","우성사료","WoosungFeed","1988/10/10","KOSPI","주권",,"보통주","5000","3090000"
"KR7066590001","066590","우수AMS","우수AMS","WOOSU AMS CO., LTD.","2003/02/12","KOSDAQ","주권","중견기업부","보통주","500","35618100"
"KR7017370008","017370","우신시스템보통주","우신시스템","WooshinSystems","2002/05/28","KOSPI","주권",,"보통주","500","18314054"
"KR7103840005","103840","우양","우양","WOOYANG CO., LTD.","2019/11/20","KOSDAQ","주권","중견기업부","보통주","100","14258000"
"KR7046940003","046940","우원개발","우원개발","Woowon Development Co., Ltd.","2002/06/18","KOSDAQ","주권","우량기업부","보통주","500","18074350"
"KR7215380007","215380","우정바이오","우정바이오","WOOJUNG BIO, Inc.","2015/05/18","KOSDAQ","주권","벤처기업부","보통주","500","12092926"
"KR7065680001","065680","우주일렉트로닉스","우주일렉트로","UJU ELECTRONICS CO., LTD","2004/01/02","KOSDAQ","주권","우량기업부","보통주","500","9934220"
"KR7105840003","105840","우진보통주","우진","WOOJIN INC","2010/07/26","KOSPI","주권",,"보통주","500","20323614"
"KR7018620005","018620","우진비앤지","우진비앤지","WooGene B&G CO., Ltd","2008/05/20","KOSDAQ","주권","벤처기업부","보통주","500","28889293"
"KR7010400000","010400","우진아이엔에스보통주","우진아이엔에스","WOOJINI&S","2018/09/14","KOSPI","주권",,"보통주","500","7622000"
"KR7049800006","049800","우진플라임 보통주","우진플라임","WOOJIN PLAIMM CO., LTD","2006/05/24","KOSPI","주권",,"보통주","500","20000000"
"KR7016880007","016880","웅진보통주","웅진","WOONGJIN","1994/11/05","KOSPI","주권",,"보통주","500","79927080"
"KR7095720009","095720","웅진씽크빅 보통주","웅진씽크빅","WOONGJIN THINKBIG CO., LTD.","2007/05/31","KOSPI","주권",,"보통주","500","115505985"
"KR7005820006","005820","원림보통주","원림","Wonlim","1990/04/20","KOSPI","주권",,"보통주","5000","2297970"
"KR7307280008","307280","원바이오젠","원바이오젠","Wonbiogen","2018/12/05","KOSDAQ","주권","벤처기업부","보통주","100","34737566"
"KR7053080008","053080","원방테크","원방테크","WONBANG TECH CO., LTD.","2020/09/24","KOSDAQ","주권","우량기업부","보통주","500","4294143"
"KR7032940009","032940","원익","원익","WonIk","1997/07/18","KOSDAQ","주권","벤처기업부","보통주","500","18193230"
"KR7104830005","104830","원익머트리얼즈","원익머트리얼즈","WONIK Materials Co., Ltd.","2011/12/28","KOSDAQ","주권","우량기업부","보통주","500","12608000"
"KR7240810002","240810","원익아이피에스","원익IPS","WONIK IPS Co.,Ltd.","2016/05/02","KOSDAQ","주권","우량기업부","보통주","500","49083901"
"KR7014190003","014190","원익큐브","원익큐브","WONIK CUBE Corp.","1996/04/26","KOSDAQ","주권","중견기업부","보통주","500","35399906"
"KR7074600008","074600","원익큐엔씨","원익QnC","WONIK QnC CORPORATION","2003/12/12","KOSDAQ","주권","우량기업부","보통주","500","26288000"
"KR7131390007","131390","원익피앤이","원익피앤이","WONIK PNE","2011/09/27","KOSDAQ","주권","우량기업부","보통주","500","14818910"
"KR7030530000","030530","원익홀딩스","원익홀딩스","WONIK HOLDINGS CO.,LTD.","1996/09/24","KOSDAQ","주권","우량기업부","보통주","500","77237981"
"KR7012620001","012620","원일특강","원일특강","WonilSpecialSteel","1994/06/28","KOSDAQ","주권","우량기업부","보통주","500","4400000"
"KR7216280008","216280","원텍","원텍","WONTECH","2015/04/29","KONEX","주권","일반기업부","보통주","500","6330040"
"KR7122830003","122830","원포유","원포유","ONE4U","2020/10/23","KONEX","주권","일반기업부","보통주","500","6550397"
"KR7008370009","008370","원풍","원풍","WonpoongCorporation","1992/12/18","KOSDAQ","주권","중견기업부","보통주","500","12000000"
"KR7008290009","008290","원풍물산","원풍물산","WonpungMulsan","1997/07/18","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","500","40693679"
"KR7101160000","101160","월덱스","월덱스","WORLDEX INDUSTRY & TRADING CO., LTD","2008/06/19","KOSDAQ","주권","우량기업부","보통주","500","16510993"
"KR7095270005","095270","웨이브일렉트로닉스","웨이브일렉트로","Wave Electronics Co., Ltd.","2007/09/12","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","14971256"
"KR7010600005","010600","웰바이오텍보통주","웰바이오텍","WELLBIOTEC","1997/07/18","KOSPI","주권",,"보통주","500","58677244"
"KR7065950008","065950","웰크론","웰크론","Welcron Company Limited","2003/07/29","KOSDAQ","주권","우량기업부","보통주","500","28231302"
"KR7076080001","076080","웰크론한텍","웰크론한텍","WELCRON HANTEC CO.,LTD.","2008/07/18","KOSDAQ","주권","중견기업부","보통주","500","20737068"
"KR7196700009","196700","웹스","웹스","WAPS Co., Ltd.","2015/08/24","KOSDAQ","주권","벤처기업부","보통주","500","14364144"
"KR7069080000","069080","웹젠","웹젠","Webzen Inc.","2003/05/23","KOSDAQ","주권","우량기업부","보통주","500","35310884"
"KR7053580007","053580","웹케시","웹케시","WebCash Corporation","2019/01/25","KOSDAQ","주권","우량기업부","보통주","500","13786248"
"KR7071460000","071460","위니아딤채","위니아딤채","WINIADIMCHAE Co.,Ltd.","2016/07/14","KOSDAQ","주권","중견기업부","보통주","500","35967295"
"KR7044340008","044340","위닉스","위닉스","WINIX INC.","2000/10/24","KOSDAQ","주권","우량기업부","보통주","500","17873425"
"KR7330350000","330350","위더스제약","위더스제약","Withus Pharmaceutical. Co., LTD","2020/07/03","KOSDAQ","주권","우량기업부","보통주","200","13188622"
"KR7348350000","348350","위드텍","위드텍","WITHTECH, Inc.","2020/10/30","KOSDAQ","주권","우량기업부","보통주","500","10183600"
"KR7112040001","112040","위메이드","위메이드","Wemade Co., Ltd.","2009/12/18","KOSDAQ","주권","중견기업부","보통주","500","16800000"
"KR7101730000","101730","위메이드맥스","위메이드맥스","Wemade Max","2009/06/03","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","15795635"
"KR7065370009","065370","위세아이텍","위세아이텍","WISE iTech Co., Ltd.","2020/02/10","KOSDAQ","주권","중견기업부","보통주","500","6575874"
"KR7140660002","140660","위월드 주식회사","위월드","WIWORLD Co.,Ltd","2013/12/26","KONEX","주권","일반기업부","보통주","500","2487252"
"KR7038620001","038620","위즈코프","위즈코프","WIZ CORP, Inc.","2000/05/04","KOSDAQ","주권","중견기업부","보통주","500","59038173"
"KR7299900001","299900","위지윅스튜디오","위지윅스튜디오","WYSIWYG STUDIOS CO., LTD.","2018/12/20","KOSDAQ","주권","중견기업부","보통주","500","36434221"
"KR7036090009","036090","위지트","위지트","WIZIT Co., Ltd.","1999/12/10","KOSDAQ","주권","중견기업부","보통주","500","90231385"
